mode,compared_verses,mismatched_verses,tr_total,kjv_total,matched,tr_only,kjv_only,tr_recall,kjv_precision,f1,multiset_jaccard,ordered_matched,ordered_tr_recall,ordered_kjv_precision,ordered_f1,full_discrepancy_count,tr_mismatch_percent,full_discrepancy_percent_of_tr
none,7957,7719,137536,122112,106962,30574,15150,0.777702,0.875934,0.8239,0.700536,91208,0.663157,0.746921,0.702551,45724,22.23,33.25
all_77,7957,6403,88214,92936,78404,9810,14532,0.888793,0.843634,0.865625,0.763086,66427,0.753021,0.714761,0.733392,24342,11.12,27.59
exclude_only_definite_article,7957,6672,117335,120978,105838,11497,15140,0.902016,0.874853,0.888227,0.798928,90218,0.768892,0.745739,0.757139,26637,9.8,22.7
exclude_only_prepositions,7957,7709,127027,111843,96930,30097,14913,0.763066,0.866661,0.811571,0.682894,82053,0.645949,0.733644,0.68701,45010,23.69,35.43
exclude_only_conjunctions_and_non_negative_particles,7957,7696,118924,104339,89560,29364,14779,0.753086,0.858356,0.802283,0.669843,76805,0.645833,0.73611,0.688023,44143,24.69,37.12
category_only_definite_article,7957,6909,20201,1134,1124,19077,10,0.055641,0.991182,0.105367,0.055613,1124,0.055641,0.991182,0.105367,19087,94.44,94.49
category_only_prepositions,7957,636,10509,10269,10032,477,237,0.95461,0.976921,0.965637,0.933557,9927,0.944619,0.966696,0.95553,714,4.54,6.79
category_only_conjunctions_and_non_negative_particles,7957,1335,18612,17773,17402,1210,371,0.934988,0.979126,0.956548,0.916715,17107,0.919138,0.962527,0.940333,1581,6.5,8.49
